rho,iter,conv,bound,wmax,xerr,xbar
1.0,30,0.29798406751829276,-108420.66354627698,190.6290783796499,0.9966285895073383,79.5030021746 249.500369236 170.99662859
1.0,31,0.2040881176776127,-108392.03286809803,190.2258965386791,0.8244679217413022,79.5787138733 249.596818205 170.824467922
1.0,32,0.08883542379480638,-108392.03286809803,189.96381222127013,0.5435893784459722,79.7184948948 249.737915727 170.543589378
1.0,33,0.014432299294310065,-108392.03286809803,189.85953367916846,0.21892569770622572,79.8853528017 249.895721501 170.218925698
1.0,34,0.0023294893077367694,-108392.03286809803,189.90392028695788,0.08811498478905833,80.0437283354 250.044386649 169.911885015
1.0,35,0.032541066928269836,-108392.03286809803,190.06630543719956,0.3292963905223303,80.1669111992 250.162385191 169.670703609
1.0,36,0.06781279775711208,-108392.03286809803,190.30157690889874,0.4753981676095691,80.2401266548 250.235271513 169.524601832
1.0,37,0.08047463328759846,-108392.03286809803,190.55923912080007,0.5179166281194512,80.2602543745 250.257662254 169.482083372
1.0,38,0.06543489440817532,-108392.03286809803,190.7926714351944,0.4670292509789249,80.233596894 250.233432357 169.532970749
1.0,39,0.0360785591132226,-108392.03286809803,190.96662961136443,0.34678490824200026,80.1728266884 250.17395822 169.653215092
1.0,40,0.01069252858392471,-108392.03286809803,191.06162837957956,0.1887838193307516,80.0937850065 250.094998813 169.811216181
1.0,41,0.0001976209805503053,-108392.03286809803,191.07477850308234,0.02565229059359808,80.0125021217 250.013150169 169.974347709
1.0,42,0.003937616929547094,-108392.03286809803,191.01751602464276,0.114566017121291,79.9426964156 249.942737567 170.114566017
1.0,43,0.013524015538236935,-108392.03286809803,190.91121441933566,0.21232025727354653,79.8939813022 249.893698441 170.212320257
1.0,44,0.020030510861002576,-108392.03286809803,190.78186495990198,0.25839540277053175,79.8709540111 249.870650586 170.258395403
1.0,45,0.01931300301563399,-108392.03286809803,190.65492120181187,0.25372544691424537,79.873218266 249.873056287 170.253725447
1.0,46,0.01292263899893228,-108390.52367295117,190.5511429157302,0.2075462342453136,79.8962320072 249.896221759 170.207546234
1.0,47,0.005424863888493282,-108390.52367295117,190.48394199617707,0.13447251062268606,79.9327283648 249.932799125 170.134472511
1.0,48,0.0007853817188169836,-108390.52367295117,190.4583970794556,0.05116564865471673,79.9743792243 249.974455127 170.051165649
1.0,49,0.00021522035122149814,-108390.52367295117,190.47180948233435,0.026784351756475644,80.0133719053 250.013412446 169.973215648
1.0,50,0.0022852650818124395,-108390.52367295117,190.51545005996928,0.0872786343667542,80.0436380134 250.043640621 169.912721366
1.0,51,0.0045493372349411825,-108390.52367295117,190.57701324644904,0.12314410583442736,80.061580876 250.06156323 169.876855894
1.0,52,0.005267505896982829,-108390.52367295117,190.64325773086253,0.13250799028304527,80.0662634623 250.066244528 169.86749201
1.0,53,0.004193252577985609,-108390.52367295117,190.70236592442166,0.11822657247299162,80.0591183351 250.059108237 169.881773428
1.0,54,0.002250954779387706,-108390.52367295117,190.74567605802693,0.08662097307257,80.0433107954 250.043310178 169.913379027
1.0,55,0.0006305593531678773,-108390.52367295117,190.7686013134694,0.04584615590178487,80.0229208562 250.0229253 169.954153844
1.0,56,5.3579022117660545e-06,-108390.52367295117,190.7707167148787,0.004226126855371604,80.002110681 250.002115446 169.995773873
1.0,57,0.0002913142433381052,-108390.52367295117,190.75513716126954,0.031161574042698703,79.984417935 249.984420491 170.031161574
1.0,58,0.0009226695626572609,-108390.52367295117,190.72740835097397,0.05545771837498137,79.9722710474 249.972271234 170.055457718
1.0,59,0.0013251433573151041,-108390.52367295117,190.6941769969696,0.06646154194498877,79.9667697675 249.966768691 170.066461542
1.0,60,0.001250185851426372,-108390.52367295117,190.6618991439947,0.0645544613439597,79.9677233472 249.967722191 170.064554461
1.0,61,0.0008176461634156674,-108390.21262756034,190.6357957284194,0.05220614134310608,79.9738972299 249.973896629 170.052206141
1.0,62,0.00033096886381100364,-108390.21262756034,190.61918825964887,0.03321484210221115,79.9833925825 249.983392575 170.033214842
1.0,63,4.214808752411413e-05,-108390.21262756034,190.6132618987869,0.011852943435144425,79.9940733734 249.994073683 170.011852943
1.0,64,1.8837318442233658e-05,-108390.21262756034,190.6172240887345,0.00792413832274974,80.0039619043 250.003962234 169.992075862
1.0,65,0.00015986549871370827,-108390.21262756034,190.62876631971042,0.023084359190136183,80.0115420842 250.011542275 169.976915641
1.0,66,0.0003047173935504444,-108390.21262756034,190.6447015428372,0.03187049267305042,80.0159352256 250.015935267 169.968129507
1.0,67,0.0003443659511108716,-108390.21262756034,190.66164174526298,0.033880531327326935,80.0169402849 250.016940246 169.966119469
1.0,68,0.0002683601587702618,-108390.21262756034,190.67659608785323,0.029908818312804897,80.0149544316 250.014954387 169.970091182
1.0,69,0.00014015215808732047,-108390.21262756034,190.6874031701407,0.021614264534662198,80.0108071381 250.010807126 169.978385735
1.0,70,3.696106597616819e-05,-108390.21262756034,190.6929530229308,0.011099769216002642,80.0055498722 250.005549897 169.988900231
1.0,71,7.134918997971694e-08,-108390.21262756034,190.69319687022104,0.00048773846751259953,80.0002438469 250.000243892 169.999512262
1.0,72,2.135468655114149e-05,-108390.21262756034,190.6889783990871,0.008436900007950499,79.9957815268 249.995781573 170.0084369
1.0,73,6.279689183663273e-05,-108390.21262756034,190.6817444045944,0.01446793866250573,79.9927660116 249.99276605 170.014467939
1.0,74,8.754385525797208e-05,-108390.21262756034,190.6732031395376,0.01708247109436911,79.9914587497 249.991458779 170.017082471
1.0,75,8.082797676932835e-05,-108390.21262756034,190.664996027911,0.016414159716049426,79.9917929077 249.991792933 170.01641416
1.0,76,5.165282480325098e-05,-108390.07450474231,190.65843523121657,0.013121530752641775,79.9934392218 249.993439247 170.013121531
1.0,77,2.0126759636508908e-05,-108390.07450474231,190.6543398304402,0.00819074204014214,79.9959046146 249.995904643 170.008190742
