rho,iter,conv,wmax,xerr,xbar
1.0,99,0.0004447224049578659,190.66793809971753,0.0016683978332139304,80.0008338813 250.000834506 169.998331602
1.0,100,0.00025788274228628124,190.66842163639794,0.0009677493451363262,80.0004835572 250.000484181 169.999032251
10.0,1,32.839506172839506,666.6666666666669,58.333333333333314,57.2222222222 308.333333333 134.444444444
10.0,2,24.61646090675244,187.70370334500058,45.162963025159456,68.8462961575 295.162963025 135.99074081
10.0,3,5.376405976744053,180.91357998979902,39.58765434125502,74.283950504 289.587654341 136.128395154
10.0,4,2.022496606641542,203.6666669959959,36.28765433091888,78.5839504972 286.287654331 135.128395146
10.0,5,0.8545038502126501,208.4732511372107,35.390946421319825,81.9226336553 283.46831276 134.609053579
10.0,6,1.558908581522205,217.24211171250943,35.033401889171614,83.5075446462 281.525857233 134.966598111
10.0,7,1.1421408608554549,223.66665436425933,34.03340314980824,83.8075471721 280.225855968 135.96659685
10.0,8,2.255500064052285e-06,223.66666709149627,33.03340314489799,84.1075471652 278.92585597 136.966596855
10.0,9,3.680377681626447e-09,223.66666715238694,32.03340313961138,84.4075471572 277.625855973 137.96659686
10.0,10,3.6450226540788813e-09,223.66666721044055,31.033403134050815,84.7075471484 276.325855977 138.966596866
10.0,11,3.56386604178422e-09,223.6666672659902,30.03340312830761,85.007547139 275.02585598 139.966596872
10.0,12,6.339803933188806e-07,223.66666367666824,29.033403473653095,85.3075478427 273.72585562 140.966596526
10.0,13,2.1076399213547524e-07,223.66666491983437,28.033403701536713,85.6075483102 272.425855381 141.966596298
10.0,14,1.3920427951082578e-07,223.66666575470447,27.03340385258403,85.9075486214 271.125855222 142.966596147
10.0,15,9.145669505667482e-08,223.6666663053353,26.033403952226337,86.2075488306 269.825855115 143.966596048
10.0,16,6.009792722731315e-08,223.66666667014272,25.033404019624868,86.5075489717 268.525855042 144.96659598
10.0,17,3.994470571595028e-08,223.66666691703017,24.033404066208874,86.8075490692 267.225854992 145.966595934
10.0,18,2.6862450239504042e-08,223.6666670772621,23.03340409912869,87.1075491383 265.925854957 146.966595901
10.0,19,1.7647339392270723e-08,223.66666719465968,22.033404122306877,87.4075491871 264.625854931 147.966595878
10.0,20,1.2125901270741856e-08,223.6666672782252,21.03340413869671,87.7075492217 263.325854914 148.966595861
10.0,21,8.54181476168176e-09,223.6666673389891,20.033404150212135,88.0075492463 262.025854901 149.96659585
10.0,22,5.037705363974965e-09,223.66666739593143,19.033404156796053,88.307549261 260.725854894 150.966595843
10.0,23,5.032938411709943e-09,223.66666741168103,18.033404162175316,88.6075492704 259.425854889 151.966595838
10.0,24,4.209796758105869e-09,223.6666674893894,17.033404165245457,88.907549275 258.125854885 152.966595835
10.0,25,4.7310556460110496e-09,223.66666756809877,16.03340416730839,89.2075492749 256.825854882 153.966595833
10.0,26,2.8165235082471756e-09,223.66666760148178,15.033404165155275,89.5075492741 255.525854885 154.966595835
10.0,27,3.0003960205249314e-08,223.66666698738982,14.033404180135676,89.8075492521 254.225854921 155.96659582
10.0,28,8.303402157455114e-07,223.66664841196354,13.033404661699734,90.10754876 252.92585589 156.966595338
10.0,29,8.227205986107341e-07,223.66666692041292,12.033404675250097,90.407548736 251.625855939 157.966595325
10.0,30,7.390219896781977e-07,223.66665029026365,11.033405107245358,90.7075482894 250.325856817 158.966594893
10.0,31,0.2886362553720403,217.17233454482198,10.84518994492015,90.8451899449 249.350573486 159.804236568
10.0,32,0.48139551455365076,206.3409354652623,10.712046622884415,90.7120466229 248.916860109 160.371093267
10.0,33,0.44943845259005855,196.22857034942342,10.326094172920946,90.3260941729 248.988764986 160.685140834
10.0,34,0.2783201633872415,189.96636672495015,9.78358664024843,89.7835866402 249.373780044 160.84263331
10.0,35,0.07146820864893123,188.35833207718196,9.2008782460385,89.200878246 249.839196832 160.959924916
10.0,36,0.09025575395577018,190.38908659353837,8.872014617395166,88.6689387187 250.203075892 161.127985383
10.0,37,0.16798635746249918,194.16877970031692,8.609461826482857,88.2314915239 250.377970295 161.390538174
10.0,38,0.16381109382871747,197.85452938710847,8.254765296615972,87.8861880758 250.368577212 161.745234703
10.0,39,0.10642374928931354,200.24906383043373,7.840205408707561,87.6007479927 250.239457406 162.159794591
10.0,40,0.03269262107994564,200.9846478007819,7.407255919850286,87.3336975172 250.073558402 162.59274408
